id,u,i,label
142,6,34,0
143,0,88,0
144,0,72,0
145,6,72,0
146,6,90,0
147,17,79,0
148,75,79,0
149,40,42,0
150,56,86,0
151,88,92,0
152,18,88,0
153,0,1,0
154,0,55,0
155,0,17,0
156,38,93,0
157,6,87,0
158,10,38,0
159,29,56,0
160,11,56,0
161,5,56,0
162,0,56,0
163,17,56,0
164,20,56,0
165,56,94,0
166,1,38,0
167,92,95,0
168,6,96,0
169,30,45,0
170,41,81,0
171,84,91,0
172,6,38,0
173,17,84,0
174,84,98,0
175,27,57,0
176,1,95,0
177,11,69,0
178,20,95,0
179,0,82,0
180,95,97,0
181,72,95,0
182,30,99,0
183,6,99,0
184,0,100,0
185,95,100,0
186,72,82,0
187,45,72,0
188,30,102,0
189,6,42,0
190,6,103,0
191,97,103,0
192,16,95,0
193,95,101,0
194,57,95,0
195,1,2,0
196,95,104,0
197,81,104,0
198,0,81,0
199,55,81,0
200,1,104,0
201,81,105,0
202,54,95,0
203,81,97,0
204,95,106,0
205,0,107,0
206,1,108,0
207,42,109,0
208,30,110,0
209,60,66,0
210,57,111,0
211,111,112,0
212,1,81,0
213,81,106,0
214,30,109,0
215,95,113,0
216,75,114,0
217,113,115,0
218,54,113,0
219,81,116,0
220,95,117,0
221,84,95,0
222,30,118,0
223,95,111,0
224,84,119,0
225,6,40,0
226,30,95,0
227,0,85,0
228,42,121,0
229,85,111,0
230,85,108,0
231,57,108,0
232,57,90,0
233,16,85,0
234,6,122,0
235,75,95,0
236,95,118,0
237,0,6,0
238,95,123,0
239,30,124,0
240,30,123,0
241,1,111,0
242,60,105,0
243,59,105,0
244,0,126,0
245,113,127,0
246,1,127,0
247,75,81,0
248,30,128,0
249,30,129,0
250,95,130,0
251,60,111,0
252,104,131,0
253,32,132,0
254,45,127,0
255,84,127,0
256,42,75,0
257,42,133,0
258,2,45,0
259,84,134,0
260,30,135,0
261,117,127,0
262,6,136,0
263,32,137,0
264,106,122,0
265,6,127,0
266,122,138,0
267,93,111,0
268,106,139,0
269,0,54,0
270,54,140,0
271,44,54,0
272,105,134,0
273,111,134,0
274,127,141,0
275,105,106,0
276,42,110,0
277,1,117,0
278,0,14,0
279,95,142,0
280,98,142,0
281,95,120,0
282,98,105,0
283,110,143,0
284,106,142,0
285,142,144,0
286,105,144,0
287,45,104,0
288,6,145,0
289,6,59,0
290,6,57,0
291,109,140,0
292,6,146,0
293,144,147,0
294,98,148,0
295,6,24,0
296,57,106,0
297,6,149,0
298,75,150,0
299,75,151,0
300,75,152,0
301,75,84,0
302,5,134,0
303,6,81,0
304,75,132,0
305,105,153,0
306,42,120,0
307,18,41,0
308,42,139,0
309,6,26,0
310,42,154,0
311,42,155,0
312,139,155,0
313,6,156,0
314,21,42,0
315,44,157,0
316,42,152,0
317,6,117,0
318,42,159,0
319,42,160,0
320,6,161,0
321,95,159,0
322,155,162,0
323,72,163,0
324,104,164,0
325,6,165,0
326,42,104,0
327,42,166,0
328,162,167,0
329,6,168,0
330,44,161,0
331,42,54,0
332,6,54,0
333,42,170,0
334,6,171,0
335,104,105,0
336,6,167,0
337,111,170,0
338,6,89,0
339,6,69,0
340,75,140,0
341,140,161,0
342,111,140,0
343,163,172,0
344,10,161,0
345,75,111,0
346,44,111,0
347,128,172,0
348,163,173,0
349,170,173,0
350,42,173,0
351,73,97,0
352,42,174,0
353,6,173,0
354,95,173,0
355,21,173,0
356,105,114,0
357,26,81,0
358,98,175,0
359,105,176,0
360,98,113,0
361,6,140,0
362,29,111,0
363,175,177,0
364,83,135,0
365,114,163,0
366,21,89,0
367,42,178,0
368,42,179,0
369,2,178,0
370,98,140,0
371,137,180,0
372,81,180,0
373,137,181,0
374,0,184,0
375,0,42,0
376,1,29,0
377,137,163,0
378,42,185,0
379,0,186,0
380,170,186,0
381,0,21,0
382,21,180,0
383,0,95,0
384,0,187,0
385,42,188,0
386,32,186,0
387,42,175,0
388,146,160,0
389,42,190,0
390,42,191,0
391,6,192,0
392,0,75,0
393,0,24,0
394,21,132,0
395,167,193,0
396,42,169,0
397,167,194,0
398,6,195,0
399,6,183,0
400,75,163,0
401,163,196,0
402,163,197,0
403,111,198,0
404,29,199,0
405,45,199,0
406,98,163,0
407,1,6,0
408,1,42,0
409,1,44,0
410,1,56,0
411,6,30,0
412,6,52,0
413,6,44,0
414,44,169,0
415,167,200,0
416,191,201,0
417,29,105,0
418,42,202,0
419,1,98,0
420,0,45,0
421,163,204,0
422,42,204,0
423,40,163,0
424,42,125,0
425,59,165,0
426,40,85,0
427,59,111,0
428,0,205,0
429,59,201,0
430,26,206,0
431,0,207,0
432,59,60,0
433,16,52,0
434,26,208,0
435,204,205,0
436,205,210,0
437,42,211,0
438,42,210,0
439,127,167,0
440,119,127,0
441,176,209,0
442,42,203,0
443,42,212,0
444,68,213,0
445,6,105,0
446,0,194,0
447,205,211,0
448,42,64,0
449,64,75,0
450,42,215,0
451,21,211,0
452,0,211,0
453,163,211,0
454,124,125,0
455,167,216,0
456,42,217,0
457,5,218,0
458,45,180,0
459,218,219,0
460,0,220,0
461,6,220,0
462,0,221,0
463,119,163,0
464,114,216,0
465,163,200,0
466,84,204,0
467,85,204,0
468,168,222,0
469,17,223,0
470,42,224,0
471,42,225,0
472,111,226,0
473,26,227,0
474,103,163,0
475,5,228,0
476,42,226,0
477,176,189,0
478,30,103,0
479,103,202,0
480,176,182,0
481,182,229,0
482,2,229,0
483,42,229,0
484,6,114,0
485,128,209,0
486,132,182,0
487,0,80,0
488,163,190,0
489,132,195,0
490,6,45,0
491,0,138,0
492,42,56,0
493,18,111,0
494,0,231,0
495,182,232,0
496,42,221,0
497,42,233,0
498,17,191,0
499,6,203,0
500,106,114,0
501,6,229,0
502,0,234,0
503,0,103,0
504,103,233,0
505,103,235,0
506,42,236,0
507,103,216,0
508,230,237,0
509,92,163,0
510,163,182,0
511,45,182,0
512,167,182,0
513,42,239,0
514,80,180,0
515,16,180,0
516,163,238,0
517,21,167,0
518,240,241,0
519,167,242,0
520,202,234,0
521,243,244,0
522,6,200,0
523,6,245,0
524,163,246,0
525,216,247,0
526,163,248,0
527,217,225,0
528,202,217,0
529,75,217,0
530,97,163,0
531,28,180,0
532,176,250,0
533,205,251,0
534,163,252,0
535,111,178,0
536,185,217,0
537,106,185,0
538,132,185,0
539,98,253,0
540,16,42,0
541,75,160,0
542,6,254,0
543,165,253,0
544,20,191,0
545,234,255,0
546,45,209,0
547,73,190,0
548,0,256,0
549,189,257,0
550,3,242,0
551,258,259,0
552,21,217,0
553,163,231,0
554,6,232,0
555,28,261,0
556,42,259,0
557,21,262,0
558,98,263,0
559,45,261,0
560,21,264,0
561,6,214,0
562,13,214,0
563,6,98,0
564,16,244,0
565,242,265,0
566,242,266,0
567,42,189,0
568,106,242,0
569,167,267,0
570,29,268,0
571,0,141,0
572,15,195,0
573,21,159,0
574,21,234,0
575,21,240,0
576,163,167,0
577,165,234,0
578,147,165,0
579,6,226,0
580,42,184,0
581,217,239,0
582,11,128,0
583,132,269,0
584,242,270,0
585,217,234,0
586,163,165,0
587,16,268,0
588,0,271,0
589,0,272,0
590,42,272,0
591,167,233,0
592,66,264,0
593,44,66,0
594,182,272,0
595,16,66,0
596,6,274,0
597,217,274,0
598,6,209,0
599,79,234,0
600,30,193,0
601,32,273,0
602,32,275,0
603,42,163,0
604,45,276,0
605,234,276,0
606,45,277,0
607,32,278,0
608,244,279,0
609,217,235,0
610,44,272,0
611,42,280,0
612,175,182,0
613,6,79,0
614,163,282,0
615,209,283,0
616,176,284,0
617,6,180,0
618,6,188,0
619,44,264,0
620,44,285,0
621,44,163,0
622,6,286,0
623,44,245,0
624,6,41,0
625,234,281,0
626,234,287,0
627,21,288,0
628,282,289,0
629,160,180,0
630,98,273,0
631,163,281,0
632,20,199,0
633,6,256,0
634,217,294,0
635,217,298,0
636,281,305,0
637,305,306,0
638,163,249,0
639,21,307,0
640,21,147,0
641,0,268,0
642,163,175,0
643,73,275,0
644,217,228,0
645,209,309,0
646,217,243,0
647,42,300,0
648,217,296,0
649,26,211,0
650,180,199,0
651,226,310,0
652,3,6,0
653,165,284,0
654,176,281,0
655,44,253,0
656,6,163,0
657,3,312,0
658,106,313,0
659,6,314,0
660,45,313,0
661,103,245,0
662,310,313,0
663,98,315,0
664,163,316,0
665,6,270,0
666,30,317,0
667,163,284,0
668,0,264,0
669,264,313,0
670,217,319,0
671,16,217,0
672,217,306,0
673,42,214,0
674,42,299,0
675,0,101,0
676,101,163,0
677,180,319,0
678,204,217,0
679,42,319,0
680,98,230,0
681,28,66,0
682,245,320,0
683,6,97,0
684,248,267,0
685,3,163,0
686,0,284,0
687,106,326,0
688,209,327,0
689,6,328,0
690,29,258,0
691,6,318,0
692,163,318,0
693,188,253,0
694,44,209,0
695,316,330,0
696,209,331,0
697,0,316,0
698,217,332,0
699,30,217,0
700,30,332,0
701,253,256,0
702,163,323,0
703,217,255,0
704,30,225,0
705,6,104,0
706,13,111,0
707,13,335,0
708,6,13,0
709,21,44,0
710,24,285,0
711,217,299,0
712,163,337,0
713,24,163,0
714,30,162,0
715,26,334,0
716,217,244,0
717,306,326,0
718,176,338,0
719,282,339,0
720,332,340,0
721,5,180,0
722,180,335,0
723,42,245,0
724,269,342,0
725,208,343,0
726,139,344,0
727,332,345,0
728,308,346,0
729,313,346,0
730,346,347,0
731,299,343,0
732,110,348,0
733,147,340,0
734,132,306,0
735,105,340,0
736,97,349,0
737,97,350,0
738,350,351,0
739,217,352,0
740,3,91,0
741,6,290,0
742,105,311,0
743,6,353,0
744,302,353,0
745,302,355,0
746,193,226,0
747,56,356,0
748,226,317,0
749,209,353,0
750,307,317,0
751,217,357,0
752,15,56,0
753,56,268,0
754,6,120,0
755,117,313,0
756,306,359,0
757,3,14,0
758,163,307,0
759,217,360,0
760,41,361,0
761,361,362,0
762,347,353,0
763,307,353,0
764,59,363,0
765,248,364,0
766,176,248,0
767,190,361,0
768,307,365,0
769,6,305,0
770,195,308,0
771,195,366,0
772,45,367,0
773,353,368,0
774,6,116,0
775,159,190,0
776,6,253,0
777,313,369,0
778,159,370,0
779,6,370,0
780,280,370,0
781,162,370,0
782,272,369,0
783,159,290,0
784,159,371,0
785,138,217,0
786,159,372,0
787,1,159,0
788,258,372,0
789,217,374,0
790,217,375,0
791,42,374,0
792,0,35,0
793,352,372,0
794,0,344,0
795,28,199,0
796,6,378,0
797,352,356,0
798,0,359,0
799,75,378,0
800,45,111,0
801,217,300,0
802,113,196,0
803,104,280,0
804,75,316,0
805,176,364,0
806,180,219,0
807,45,260,0
808,230,381,0
809,365,383,0
810,217,293,0
811,347,361,0
812,59,290,0
813,217,301,0
814,75,387,0
815,163,313,0
816,6,106,0
817,307,310,0
818,216,388,0
819,26,105,0
820,243,388,0
821,56,310,0
822,56,216,0
823,6,389,0
824,56,91,0
825,216,362,0
826,26,331,0
827,217,292,0
828,354,390,0
829,326,370,0
830,326,392,0
831,370,392,0
832,381,383,0
833,11,199,0
834,337,346,0
835,343,383,0
836,347,383,0
837,6,230,0
838,313,393,0
839,217,257,0
840,176,394,0
841,32,395,0
842,381,393,0
843,59,246,0
844,127,364,0
845,365,393,0
846,364,393,0
847,217,282,0
848,159,248,0
849,139,142,0
850,393,396,0
851,163,261,0
852,164,353,0
853,261,397,0
854,0,398,0
855,11,257,0
856,164,399,0
857,35,364,0
858,268,364,0
859,145,399,0
860,76,217,0
861,42,401,0
862,0,402,0
863,280,403,0
864,400,404,0
865,141,405,0
866,217,270,0
867,370,403,0
868,359,368,0
869,285,313,0
870,258,406,0
871,0,106,0
872,175,403,0
873,217,269,0
874,164,338,0
875,256,312,0
876,0,180,0
877,180,406,0
878,6,325,0
879,18,270,0
880,18,323,0
881,396,408,0
882,163,270,0
883,6,409,0
884,217,391,0
885,238,357,0
886,44,357,0
887,2,357,0
888,0,280,0
889,264,282,0
890,26,282,0
891,323,410,0
892,214,256,0
893,159,167,0
894,159,245,0
895,35,411,0
896,411,412,0
897,35,413,0
898,35,344,0
899,413,414,0
900,159,415,0
901,403,416,0
902,26,313,0
903,159,417,0
904,159,381,0
905,159,376,0
906,159,313,0
907,306,418,0
908,403,419,0
909,338,419,0
910,335,420,0
911,6,420,0
912,195,420,0
913,399,420,0
914,398,424,0
915,368,425,0
916,216,365,0
917,3,426,0
918,387,401,0
919,106,368,0
920,305,401,0
921,16,427,0
922,427,428,0
923,423,427,0
924,0,424,0
925,368,429,0
926,26,424,0
927,97,428,0
928,423,428,0
929,234,392,0
930,422,423,0
931,368,430,0
932,32,44,0
933,217,272,0
934,383,428,0
935,372,431,0
936,310,432,0
937,163,401,0
938,0,391,0
939,6,433,0
940,387,427,0
941,217,329,0
942,385,423,0
943,195,415,0
944,217,377,0
945,419,435,0
946,361,436,0
947,158,208,0
948,343,361,0
949,346,428,0
950,217,224,0
951,365,437,0
952,216,429,0
953,217,366,0
954,385,438,0
955,353,365,0
956,6,384,0
957,353,439,0
958,110,369,0
959,217,336,0
960,217,333,0
961,437,439,0
962,217,229,0
963,217,380,0
964,106,361,0
965,395,440,0
966,282,439,0
967,306,358,0
968,185,422,0
969,6,441,0
970,353,354,0
971,210,217,0
972,175,217,0
973,3,383,0
974,159,365,0
975,270,282,0
976,73,414,0
977,368,414,0
978,343,442,0
979,45,147,0
980,6,338,0
981,422,443,0
982,381,432,0
983,359,444,0
984,347,368,0
985,5,159,0
986,347,432,0
987,188,444,0
988,308,343,0
989,264,445,0
990,0,446,0
991,343,447,0
992,428,448,0
993,428,449,0
994,16,450,0
995,56,372,0
996,45,216,0
997,95,449,0
998,0,376,0
999,45,75,0
1000,310,449,0
1001,310,452,0
1002,95,163,0
1003,159,432,0
1004,41,106,0
1005,359,432,0
1006,372,432,0
1007,347,453,0
1008,6,400,0
1009,6,95,0
1010,346,454,0
1011,6,449,0
1012,6,407,0
1013,132,453,0
1014,3,415,0
1015,159,403,0
1016,45,452,0
1017,240,444,0
1018,240,455,0
1019,240,403,0
1020,385,436,0
1021,124,387,0
1022,142,385,0
1023,422,456,0
1024,6,343,0
1025,343,457,0
1026,163,407,0
1027,82,459,0
1028,75,82,0
1029,27,460,0
1030,159,459,0
1031,75,459,0
1032,75,256,0
1033,106,444,0
1034,75,422,0
1035,234,460,0
1036,436,454,0
1037,26,418,0
1038,403,461,0
1039,75,450,0
1040,432,436,0
1041,432,454,0
1042,387,423,0
1043,385,432,0
1044,240,462,0
1045,45,248,0
1046,45,451,0
1047,124,278,0
1048,45,463,0
1049,387,463,0
1050,21,230,0
1051,319,464,0
1052,0,465,0
1053,18,117,0
1054,371,451,0
1055,6,432,0
1056,16,466,0
1057,11,415,0
1058,6,458,0
1059,132,344,0
1060,344,376,0
1061,344,356,0
1062,221,467,0
1063,438,450,0
1064,291,468,0
1065,26,432,0
1066,432,441,0
1067,230,347,0
1068,404,432,0
1069,0,381,0
1070,103,457,0
1071,1,415,0
1072,0,59,0
1073,1,361,0
1074,45,401,0
1075,28,103,0
1076,176,401,0
1077,448,453,0
1078,139,359,0
1079,383,469,0
1080,469,470,0
1081,0,471,0
1082,470,472,0
1083,469,472,0
1084,472,473,0
1085,6,346,0
1086,469,473,0
1087,451,474,0
1088,132,270,0
1089,270,444,0
1090,270,313,0
1091,41,139,0
1092,401,422,0
1093,139,475,0
1094,21,436,0
1095,0,454,0
1096,354,476,0
1097,436,477,0
1098,354,454,0
1099,217,280,0
1100,217,288,0
1101,178,217,0
1102,217,382,0
1103,179,217,0
1104,217,302,0
1105,217,368,0
1106,45,478,0
1107,217,311,0
1108,217,297,0
1109,217,308,0
1110,217,479,0
1111,42,479,0
1112,444,480,0
1113,217,341,0
1114,226,435,0
1115,188,481,0
1116,217,322,0
1117,106,163,0
1118,164,343,0
1119,481,482,0
1120,164,359,0
1121,21,483,0
1122,365,368,0
1123,132,368,0
1124,147,436,0
1125,412,451,0
1126,319,484,0
1127,243,478,0
1128,6,454,0
1129,112,159,0
1130,217,337,0
1131,343,477,0
1132,128,451,0
1133,217,324,0
1134,217,291,0
1135,217,373,0
1136,332,485,0
1137,216,481,0
1138,217,321,0
1139,112,480,0
1140,230,356,0
1141,356,486,0
1142,17,487,0
1143,180,474,0
1144,106,486,0
1145,432,444,0
1146,260,489,0
1147,436,490,0
1148,163,176,0
1149,258,491,0
1150,216,475,0
1151,448,492,0
1152,127,490,0
1153,127,216,0
1154,127,492,0
1155,474,493,0
1156,451,472,0
1157,455,492,0
1158,451,494,0
1159,344,494,0
1160,0,494,0
1161,444,490,0
1162,478,490,0
1163,132,365,0
1164,132,451,0
1165,407,495,0
1166,387,477,0
1167,494,496,0
1168,483,494,0
1169,349,483,0
1170,18,387,0
1171,0,497,0
1172,483,496,0
1173,444,486,0
1174,45,447,0
1175,6,498,0
1176,45,343,0
1177,45,437,0
1178,461,494,0
1179,387,451,0
1180,45,498,0
1181,474,498,0
1182,214,217,0
1183,217,238,0
1184,194,217,0
1185,188,217,0
1186,189,217,0
1187,217,236,0
1188,359,499,0
1189,217,385,0
1190,217,325,0
1191,217,320,0
1192,16,56,0
1193,21,481,0
1194,173,495,0
1195,335,500,0
1196,45,501,0
1197,230,376,0
1198,448,468,0
1199,113,492,0
1200,216,217,0
1201,233,425,0
1202,125,438,0
1203,344,436,0
1204,401,499,0
1205,379,480,0
1206,480,499,0
1207,440,502,0
1208,217,295,0
1209,451,503,0
1210,159,504,0
1211,483,505,0
1212,6,164,0
1213,480,506,0
1214,502,507,0
1215,347,490,0
1216,365,508,0
1217,269,406,0
1218,406,482,0
1219,480,509,0
1220,6,508,0
1221,217,386,0
1222,163,510,0
1223,422,510,0
1224,97,510,0
1225,6,440,0
1226,6,507,0
1227,354,507,0
1228,28,56,0
1229,44,456,0
1230,424,512,0
1231,6,282,0
1232,214,513,0
1233,356,480,0
1234,159,176,0
1235,159,338,0
1236,217,233,0
1237,462,486,0
1238,159,185,0
1239,132,159,0
1240,462,514,0
1241,45,310,0
1242,507,514,0
1243,310,480,0
1244,480,515,0
1245,217,401,0
1246,480,516,0
1247,159,346,0
1248,159,461,0
1249,354,517,0
1250,163,448,0
1251,64,518,0
1252,436,480,0
1253,159,354,0
1254,397,428,0
1255,159,519,0
1256,354,520,0
1257,255,428,0
1258,428,521,0
1259,161,493,0
1260,384,493,0
1261,206,217,0
1262,209,451,0
1263,106,428,0
1264,403,518,0
1265,161,490,0
1266,222,490,0
1267,222,507,0
1268,222,480,0
1269,222,522,0
1270,159,222,0
1271,120,248,0
1272,440,455,0
1273,313,439,0
1274,0,523,0
1275,523,524,0
1276,525,526,0
1277,45,511,0
1278,429,510,0
1279,0,527,0
1280,45,448,0
1281,0,528,0
1282,159,209,0
1283,523,529,0
1284,529,530,0
1285,375,531,0
1286,159,359,0
1287,243,468,0
1288,45,128,0
1289,106,353,0
1290,147,229,0
1291,310,507,0
1292,124,368,0
1293,529,532,0
1294,530,532,0
1295,456,459,0
1296,120,233,0
1297,403,534,0
1298,422,434,0
1299,422,536,0
1300,365,537,0
1301,183,537,0
1302,403,537,0
1303,0,176,0
1304,448,522,0
1305,120,440,0
1306,26,488,0
1307,120,539,0
1308,120,540,0
1309,321,468,0
1310,106,243,0
1311,6,48,0
1312,243,356,0
1313,233,541,0
1314,540,542,0
1315,6,543,0
1316,317,440,0
1317,440,448,0
1318,163,440,0
1319,120,544,0
1320,359,502,0
1321,159,347,0
1322,159,545,0
1323,493,546,0
1324,365,548,0
1325,185,549,0
1326,490,493,0
1327,228,343,0
1328,10,478,0
1329,183,332,0
1330,461,551,0
1331,183,236,0
1332,124,436,0
1333,6,511,0
1334,0,538,0
1335,163,180,0
1336,180,518,0
1337,217,303,0
1338,6,132,0
1339,10,553,0
1340,387,554,0
1341,163,553,0
1342,344,555,0
1343,457,556,0
1344,546,547,0
1345,523,557,0
1346,524,557,0
1347,557,558,0
1348,428,455,0
1349,120,559,0
1350,120,560,0
1351,120,561,0
1352,444,562,0
1353,524,563,0
1354,45,550,0
1355,45,480,0
1356,45,564,0
1357,45,232,0
1358,120,565,0
1359,10,564,0
1360,195,566,0
1361,10,120,0
1362,159,567,0
1363,557,568,0
1364,230,569,0
1365,120,570,0
1366,45,506,0
1367,84,510,0
1368,10,571,0
1369,258,572,0
1370,258,510,0
1371,159,480,0
1372,527,542,0
1373,161,228,0
1374,557,573,0
1375,264,574,0
1376,258,576,0
1377,365,576,0
1378,264,517,0
1379,16,577,0
1380,0,444,0
1381,10,578,0
1382,578,579,0
1383,422,580,0
1384,120,581,0
1385,10,579,0
1386,6,444,0
1387,10,69,0
1388,306,334,0
1389,161,582,0
1390,163,387,0
1391,545,551,0
1392,6,575,0
1393,10,552,0
1394,84,180,0
1395,24,583,0
1396,230,584,0
1397,428,585,0
1398,264,444,0
1399,84,255,0
1400,120,338,0
1401,236,376,0
1402,493,526,0
1403,564,587,0
1404,537,587,0
1405,3,264,0
1406,183,255,0
1407,448,497,0
1408,6,365,0
1409,183,588,0
1410,455,589,0
1411,510,582,0
1412,483,590,0
1413,306,586,0
1414,200,217,0
1415,217,221,0
1416,105,356,0
1417,474,591,0
1418,6,84,0
1419,163,497,0
1420,406,551,0
1421,575,592,0
1422,592,593,0
1423,551,575,0
1424,255,462,0
1425,217,237,0
1426,217,226,0
1427,120,591,0
1428,547,594,0
1429,302,455,0
1430,27,64,0
1431,594,595,0
1432,175,302,0
1433,228,260,0
1434,45,432,0
1435,546,596,0
1436,163,597,0
1437,428,598,0
1438,483,545,0
1439,537,569,0
1440,216,589,0
1441,211,217,0
1442,217,304,0
1443,565,601,0
1444,165,217,0
1445,6,602,0
1446,45,602,0
1447,120,603,0
1448,168,589,0
1449,481,589,0
1450,606,607,0
1451,1,591,0
1452,188,606,0
1453,591,606,0
1454,462,608,0
1455,106,591,0
1456,88,406,0
1457,105,163,0
1458,609,610,0
1459,455,569,0
1460,120,236,0
1461,606,610,0
1462,587,609,0
1463,455,551,0
1464,422,611,0
1465,362,606,0
1466,41,497,0
1467,138,606,0
1468,285,553,0
1469,313,553,0
1470,132,285,0
1471,285,612,0
1472,21,216,0
1473,232,589,0
1474,565,613,0
1475,6,614,0
1476,21,615,0
1477,6,615,0
1478,1,617,0
1479,541,591,0
1480,196,362,0
1481,362,591,0
1482,350,591,0
1483,20,334,0
1484,396,619,0
1485,106,620,0
1486,483,620,0
1487,620,621,0
1488,120,622,0
1489,125,594,0
1490,565,623,0
1491,529,533,0
1492,594,618,0
1493,217,281,0
1494,609,623,0
1495,565,624,0
1496,216,623,0
1497,1,476,0
1498,216,606,0
1499,163,453,0
1500,1,610,0
1501,255,625,0
1502,216,255,0
1503,255,626,0
1504,226,627,0
1505,524,529,0
1506,226,396,0
1507,145,396,0
1508,226,613,0
1509,183,226,0
1510,0,43,0
1511,43,66,0
1512,183,483,0
1513,359,610,0
1514,226,612,0
1515,279,629,0
1516,279,630,0
1517,612,631,0
1518,106,612,0
1519,177,396,0
1520,551,591,0
1521,255,551,0
1522,521,591,0
1523,0,226,0
1524,601,626,0
1525,255,310,0
1526,359,606,0
1527,132,591,0
1528,226,589,0
1529,43,80,0
1530,3,500,0
1531,236,589,0
1532,226,633,0
1533,462,591,0
1534,387,617,0
1535,6,538,0
1536,606,633,0
1537,422,634,0
1538,279,455,0
1539,379,591,0
1540,6,379,0
1541,521,606,0
1542,589,606,0
1543,0,589,0
1544,483,635,0
1545,406,504,0
1546,0,636,0
1547,306,637,0
1548,376,428,0
1549,586,638,0
1550,19,639,0
1551,613,640,0
1552,609,613,0
1553,6,609,0
1554,387,641,0
1555,285,613,0
1556,203,639,0
1557,589,592,0
1558,106,639,0
1559,529,628,0
1560,45,264,0
1561,544,643,0
1562,84,639,0
1563,482,629,0
1564,56,226,0
1565,636,644,0
1566,17,609,0
1567,17,645,0
1568,606,646,0
1569,21,371,0
1570,387,589,0
1571,609,645,0
1572,365,626,0
1573,258,647,0
1574,455,646,0
1575,589,648,0
1576,279,649,0
1577,3,279,0
1578,310,606,0
1579,6,154,0
1580,483,650,0
1581,203,651,0
1582,639,652,0
1583,536,610,0
1584,106,626,0
1585,132,510,0
1586,589,609,0
1587,175,354,0
1588,424,653,0
1589,593,603,0
1590,27,637,0
1591,0,654,0
1592,654,655,0
1593,378,589,0
1594,378,650,0
1595,378,593,0
1596,264,639,0
1597,356,589,0
1598,529,642,0
1599,6,311,0
1600,529,605,0
1601,585,657,0
1602,359,575,0
1603,359,589,0
1604,6,321,0
1605,346,589,0
1606,106,656,0
1607,41,482,0
1608,519,658,0
1609,527,646,0
1610,132,659,0
1611,6,625,0
1612,264,660,0
1613,483,660,0
1614,159,661,0
1615,359,660,0
1616,163,656,0
1617,138,285,0
1618,483,661,0
1619,6,579,0
1620,412,483,0
1621,54,618,0
1622,508,662,0
1623,567,662,0
1624,376,650,0
1625,544,650,0
1626,530,600,0
1627,593,601,0
1628,163,593,0
1629,557,600,0
1630,593,664,0
1631,21,98,0
1632,601,665,0
1633,593,660,0
1634,84,650,0
1635,483,544,0
1636,544,606,0
1637,132,481,0
1638,203,603,0
1639,536,667,0
1640,529,666,0
1641,132,350,0
1642,41,656,0
1643,163,663,0
1644,6,598,0
1645,19,585,0
1646,230,481,0
1647,45,163,0
1648,264,646,0
1649,6,668,0
1650,377,668,0
1651,668,669,0
1652,429,670,0
1653,3,32,0
1654,613,646,0
1655,282,444,0
1656,75,671,0
1657,367,497,0
1658,216,281,0
1659,409,420,0
1660,387,483,0
1661,483,673,0
1662,606,673,0
1663,278,396,0
